	CTX-M-130	CTX-M-121	CTX-M-155	CTX-M-42	CTX-M-112	CTX-M-50	CTX-M-24	CTX-M-19	CTX-M-38	CTX-M-58	CTX-M-56	CTX-M-88	CTX-M-126	CTX-M-107	CTX-M-11	CTX-M-125	CTX-M-101	CTX-M-36	CTX-M-35	CTX-M-159	CTX-M-151	CTX-M-25	CTX-M-147	CTX-M-1	CTX-M-94	CTX-M-30	CTX-M-76	CTX-M-69	CTX-M-9	CTX-M-82	CTX-M-47	CTX-M-117	CTX-M-41	CTX-M-20	CTX-M-122	CTX-M-34	CTX-M-65	CTX-M-137	CTX-M-123	CTX-M-40	CTX-M-98	CTX-M-49	CTX-M-81	CTX-M-100	CTX-M-8	CTX-M-48	CTX-M-55	CTX-M-31	CTX-M-87	CTX-M-158	CTX-M-68	CTX-M-102	CTX-M-14	CTX-M-108	CTX-M-142	CTX-M-99	CTX-M-131	CTX-M-93	CTX-M-139	CTX-M-113	CTX-M-77	CTX-M-61	CTX-M-4	CTX-M-86	CTX-M-54	CTX-M-22	CTX-M-114	CTX-M-141	CTX-M-7	CTX-M-21	CTX-M-64	CTX-M-124	CTX-M-39	CTX-M-105	CTX-M-28	CTX-M-6	CTX-M-33	CTX-M-96	CTX-M-157	CTX-M-46	CTX-M-67	CTX-M-110	CTX-M-109	CTX-M-80	CTX-M-85	CTX-M-3	CTX-M-52	CTX-M-132	CTX-M-26	CTX-M-60	CTX-M-92	CTX-M-74	CTX-M-103	CTX-M-13	CTX-M-78	CTX-M-44	CTX-M-63	CTX-M-32	CTX-M-84	CTX-M-16	CTX-M-152	CTX-M-156	CTX-M-95	CTX-M-71	CTX-M-53	CTX-M-2	CTX-M-79	CTX-M-5	CTX-M-90	CTX-M-66	CTX-M-45	CTX-M-23	CTX-M-144	CTX-M-115	CTX-M-106	CTX-M-12	CTX-M-134	CTX-M-27	CTX-M-59	CTX-M-91	CTX-M-75	CTX-M-72	CTX-M-116	CTX-M-111	CTX-M-51	CTX-M-17	CTX-M-136	CTX-M-29	CTX-M-43	CTX-M-148	CTX-M-10	CTX-M-160	CTX-M-83	CTX-M-89	CTX-M-129	CTX-M-37	CTX-M-104	CTX-M-62	CTX-M-15	CTX-M-161	CTX-M-162	CTX-M-163	CTX-M-164	CTX-M-165	CTX-M-166	CTX-M-127	CTX-M-138	CTX-M-140	CTX-M-143	CTX-M-146	CTX-M-150	CTX-M-153	CTX-M-154	CTX-M-167	CTX-M-168	CTX-M-169	CTX-M-170	CTX-M-171	CTX-M-172	CTX-M-173	CTX-M-174	CTX-M-175	CTX-M-176	CTX-M-177	CTX-M-178	CTX-M-179	CTX-M-180	CTX-M-181	CTX-M-182	CTX-M-183	CTX-M-184	CTX-M-185	CTX-M-186	CTX-M-187	CTX-M-188	CTX-M-189	CTX-M-190	CTX-M-191	CTX-M-192	CTX-M-193	CTX-M-194	CTX-M-195	CTX-M-196	CTX-M-197	CTX-M-198	CTX-M-199	CTX-M-200	CTX-M-201	CTX-M-202	CTX-M-203	CTX-M-204	CTX-M-205	CTX-M-206	CTX-M-207	CTX-M-208	CTX-M-209	CTX-M-210	CTX-M-211	CTX-M-212	CTX-M-213	CTX-M-214	CTX-M-215	CTX-M-216	CTX-M-217	CTX-M-218	CTX-M-219	CTX-M-220	CTX-M-221	CTX-M-222	CTX-M-223	CTX-M-224	CTX-M-225	CTX-M-226	CTX-M-227	CTX-M-228	CTX-M-229	CTX-M-230	CTX-M-231	CTX-M-232	CTX-M-233	CTX-M-234	CTX-M-235	CTX-M-236	CTX-M-237	CTX-M-238	CTX-M-239	CTX-M-240	CTX-M-241	CTX-M-242	CTX-M-244	CTX-M-73	CTX-M-97
CTX-M-12	236	235	13	9	234	234	234	234	234	17	231	10	235	26	42	235	10	15	231	235	399	219	235	16	218	9	231	12	235	10	234	10	218	231	234	24	235	171	93	230	235	235	236	218	226	233	10	231	235	17	29	235	233	26	10	235	231	235	10	234	231	15	238	234	9	9	11	231	239	238	121	234	217	236	11	236	10	1	10	235	234	239	25	10	234	8	10	69	218	1	231	232	10	234	222	231	231	17	234	236	223	10	230	10	27	230	11	232	234	9	244	15	11	235	240	0	235	234	230	219	231	9	13	234	236	234	11	10	232	236	23	218	233	218	235	21	234	7	9	233	9	10	11	230	17	10	18	234	10	17	13	94	10	9	234	7	10	231	10	10	234	17	10	10	10	11	10	10	10	10	10	223	10	12	10	10	11	234	235	10	10	235	235	10	234	123	231	234	10	9	9	223	4	11	10	10	10	17	11	233	236	236	10	219	10	236	9	169	17	236	10	10	11	12	10	233	11	10	10	235	97	234	9	10	10	236	235	238	235	10	235	231
CTX-M-134	5	2	232	232	3	3	3	3	3	236	208	231	4	243	256	4	231	234	208	2	360	200	4	235	199	233	207	231	6	229	3	231	199	207	4	229	4	65	145	198	2	4	6	199	193	3	231	208	4	236	228	2	2	243	231	4	206	2	231	3	208	234	214	3	232	232	232	208	214	11	116	207	200	3	231	209	231	234	231	5	3	9	241	232	3	231	233	170	199	236	208	208	231	6	200	208	199	234	3	5	201	229	209	231	230	207	232	206	3	232	15	234	232	208	10	235	0	1	208	202	210	232	232	3	7	4	232	232	207	5	228	199	3	201	2	233	3	234	230	4	232	231	232	209	236	231	237	3	231	236	234	144	231	232	3	231	231	208	231	231	2	236	231	231	231	232	231	231	231	231	231	199	231	231	231	231	232	3	2	231	229	2	2	230	3	118	208	3	231	232	232	200	233	230	231	231	229	240	233	5	7	5	231	200	231	7	232	69	236	3	230	229	232	233	231	209	232	230	231	2	146	3	232	231	231	3	2	9	2	231	4	208
CTX-M-27	4	1	231	231	2	2	2	2	2	235	207	230	3	242	255	3	230	233	207	1	359	199	3	234	198	232	206	230	5	228	2	230	198	206	3	228	3	64	144	197	1	3	5	198	192	2	230	207	3	235	227	1	1	242	230	3	205	1	230	2	207	233	213	2	231	231	231	207	213	10	115	206	199	2	230	208	230	233	230	4	2	8	240	231	2	230	232	169	198	235	207	207	230	5	199	207	198	233	2	4	200	228	208	230	229	206	231	205	2	231	14	233	231	207	9	234	1	0	207	201	209	231	231	2	6	3	231	231	206	4	227	198	2	200	1	232	2	233	229	3	231	230	231	208	235	230	236	2	230	235	233	143	230	231	2	230	230	207	230	230	1	235	230	230	230	231	230	230	230	230	230	198	230	230	230	230	231	2	1	230	228	1	1	229	2	117	207	2	230	231	231	199	232	231	230	230	228	239	232	4	6	4	230	199	230	6	231	68	235	2	229	228	231	232	230	208	231	229	230	1	145	2	231	230	230	2	1	8	1	230	3	207
CTX-M-59	207	208	233	230	205	207	207	207	207	234	2	231	206	244	256	208	231	232	2	208	375	204	208	233	203	231	7	232	208	231	207	231	203	2	206	229	208	203	221	212	208	208	209	203	210	205	231	2	208	234	222	208	206	244	229	208	2	208	231	207	9	233	18	207	230	229	232	2	22	208	215	6	202	209	231	15	231	231	231	205	207	210	243	230	207	229	231	221	201	231	2	139	231	208	207	2	213	234	207	209	207	231	10	231	232	1	231	8	207	230	214	230	232	7	211	230	208	207	0	202	140	229	230	207	209	206	230	231	3	209	228	203	207	203	208	228	207	232	230	205	230	231	232	4	234	231	235	207	231	234	234	222	231	230	207	231	231	2	231	231	207	234	231	230	231	232	231	231	231	231	231	207	231	232	231	231	232	207	208	231	231	208	208	230	206	217	2	207	231	230	230	208	231	232	231	231	229	238	232	207	209	209	231	204	231	209	230	203	234	209	230	229	230	233	231	5	232	229	231	208	221	207	230	231	231	209	208	212	208	231	206	2
CTX-M-91	201	202	224	222	201	201	201	201	201	220	203	223	200	236	246	202	223	220	203	202	372	3	200	219	5	218	202	223	201	223	201	223	6	202	201	219	200	197	220	102	200	202	203	4	101	199	221	203	200	220	219	202	200	236	223	202	203	202	222	201	204	218	210	201	222	222	222	203	209	207	214	203	3	201	223	203	223	220	223	199	201	202	235	222	201	221	221	218	4	218	203	220	223	204	36	203	103	220	201	202	28	223	204	223	220	202	222	205	199	222	211	218	222	204	205	219	202	201	202	0	220	222	219	201	200	201	222	224	204	201	218	4	201	2	202	222	201	220	222	199	220	221	222	205	219	223	221	201	223	220	225	221	223	222	201	218	223	203	223	223	201	220	223	221	223	221	223	223	223	223	223	36	223	222	223	223	222	201	202	223	223	202	202	222	201	216	203	201	223	222	222	33	218	222	223	221	221	230	221	203	202	203	223	5	223	202	222	197	220	203	222	221	222	223	223	204	222	221	223	202	219	199	222	223	223	203	202	204	202	223	202	202
CTX-M-75	211	210	235	233	207	209	209	209	209	238	140	234	210	240	251	210	234	236	140	210	371	222	210	237	221	233	144	234	212	234	209	234	221	140	209	233	210	209	233	227	210	210	210	221	224	207	234	140	210	238	233	210	208	240	232	210	140	210	234	209	144	237	150	209	233	232	235	140	148	209	230	142	220	211	234	147	234	232	234	209	209	209	239	233	209	232	234	226	219	232	140	5	234	209	218	140	228	238	209	213	222	233	145	234	235	139	234	143	209	233	217	234	235	143	208	231	210	209	140	220	0	233	234	209	213	208	235	233	141	211	232	221	209	221	210	231	209	233	233	207	233	234	235	142	238	234	239	209	234	238	237	234	234	233	209	233	234	140	234	234	209	238	234	232	234	235	234	234	234	234	234	217	234	236	234	234	235	209	210	234	234	210	210	234	208	232	140	209	234	233	233	218	232	235	234	234	232	241	234	208	213	211	234	222	234	213	233	211	238	211	233	232	233	236	234	141	235	232	234	210	230	209	233	234	234	211	210	214	210	234	209	140
CTX-M-72	233	232	6	2	231	231	231	231	231	12	229	3	232	19	35	232	3	10	229	232	400	222	232	11	221	12	227	5	232	3	231	3	221	228	231	23	232	167	87	227	232	232	233	221	223	230	3	229	232	12	28	232	230	19	3	232	229	232	3	231	227	10	236	231	2	2	4	229	235	236	116	230	220	233	4	232	3	10	3	232	231	236	18	3	231	1	3	62	221	10	229	234	3	231	223	229	228	12	231	233	224	3	226	3	26	228	4	228	231	2	241	10	4	231	237	9	232	231	229	222	233	0	6	231	233	231	4	9	230	233	22	221	230	221	232	20	231	10	2	230	2	3	4	228	12	3	13	231	3	12	6	88	3	2	231	12	3	229	3	3	231	12	3	5	3	4	3	3	3	3	3	224	3	5	3	3	4	231	232	3	3	232	232	3	231	118	229	231	3	2	2	224	9	4	3	3	3	10	6	230	233	233	3	222	3	233	2	165	12	233	3	3	4	5	3	231	4	3	3	232	90	231	2	3	3	233	232	235	232	3	232	229
CTX-M-116	233	232	10	6	231	231	231	231	231	8	230	7	232	20	38	232	7	8	230	232	395	219	230	7	220	16	228	5	232	7	231	7	220	229	231	25	230	167	91	227	230	232	233	220	223	230	5	230	230	8	30	232	230	20	7	232	230	232	7	231	228	8	237	231	6	4	6	230	236	236	120	231	219	231	4	233	7	14	7	232	231	236	18	7	231	5	5	66	220	12	230	235	7	231	222	230	228	8	231	233	223	7	227	7	26	229	4	229	229	6	241	4	6	232	237	13	232	231	230	219	234	6	0	231	231	229	6	11	231	231	24	218	230	218	232	22	231	10	6	230	6	7	6	229	8	7	9	231	7	8	10	92	7	6	231	14	7	230	7	7	231	8	7	9	7	6	7	7	7	7	7	222	7	9	7	7	6	231	232	7	7	232	232	7	231	122	230	231	7	6	6	223	13	6	7	7	7	14	8	230	233	233	7	221	7	233	6	165	8	233	7	7	6	7	7	232	6	7	7	232	92	231	6	7	7	233	232	233	232	7	232	230
CTX-M-111	4	3	233	231	2	2	2	2	2	235	207	232	3	244	255	3	232	233	207	3	359	201	3	234	200	232	206	232	5	230	2	232	200	206	3	228	3	66	146	197	3	3	5	200	192	2	232	207	3	235	227	3	1	244	232	3	207	3	232	2	207	233	213	2	231	231	233	207	213	10	117	206	199	4	232	208	232	235	232	4	2	8	242	231	2	230	232	171	198	235	207	207	232	5	199	207	198	235	2	6	200	230	208	232	231	206	233	205	2	231	14	233	233	207	9	234	3	2	207	201	209	231	231	0	6	3	231	233	208	4	227	200	2	200	3	232	2	233	231	3	231	232	233	208	235	232	236	2	232	235	235	145	232	231	2	232	232	207	232	232	3	235	232	230	232	233	232	232	232	232	232	198	232	230	232	232	233	2	3	232	230	3	3	231	2	119	207	2	232	231	231	199	232	233	232	232	230	239	232	4	6	4	232	201	232	6	231	68	235	4	231	230	233	234	232	208	233	231	232	3	147	2	231	232	232	4	3	8	3	232	3	207
CTX-M-51	8	7	235	233	6	6	6	6	6	235	209	234	7	246	257	7	234	235	209	7	357	200	5	234	201	234	208	232	1	232	6	234	201	208	7	230	5	70	148	200	5	7	9	201	195	6	232	209	5	235	229	7	5	246	234	7	209	7	234	6	209	233	215	6	233	233	233	209	215	14	121	208	200	6	234	210	234	237	234	8	6	12	244	233	6	232	232	175	199	235	209	211	234	9	200	209	201	235	6	2	201	232	210	234	231	208	233	207	4	233	18	233	233	209	13	236	7	6	209	200	213	233	231	6	0	7	231	235	210	6	229	199	6	199	7	234	6	235	233	7	233	234	233	210	235	234	236	6	234	235	237	147	234	233	6	234	234	209	234	234	7	235	234	232	234	233	234	234	234	234	234	199	234	232	234	234	233	6	7	234	232	7	7	233	6	123	209	6	234	233	233	200	234	233	234	234	232	241	232	8	2	8	234	202	234	4	233	72	235	8	233	232	233	234	234	210	233	233	234	7	149	6	233	234	234	8	7	10	7	234	7	209
CTX-M-17	5	4	233	231	3	3	3	3	3	233	206	232	4	243	254	4	232	231	206	4	357	201	4	232	200	232	205	230	6	230	3	232	200	205	4	228	4	66	146	197	4	4	6	200	192	3	232	206	4	233	227	4	2	243	232	4	206	4	232	3	206	233	212	3	231	229	233	206	212	11	117	205	199	5	230	207	232	235	232	5	3	9	241	231	3	230	232	171	198	235	206	206	232	6	199	206	198	233	3	7	200	230	207	232	231	205	231	204	3	231	15	231	233	206	10	234	4	3	206	201	208	231	229	3	7	0	231	231	207	5	227	200	3	200	4	232	3	233	231	4	231	232	233	207	233	232	234	3	232	233	235	145	232	231	3	232	232	206	232	232	4	233	232	230	232	233	232	232	232	232	232	198	232	230	232	232	233	3	4	232	230	4	4	231	3	119	206	3	232	231	231	199	232	233	232	232	230	239	232	5	7	5	232	201	232	7	231	68	233	5	231	230	233	234	232	207	233	231	232	4	147	3	231	232	232	5	4	9	4	232	4	206
CTX-M-136	233	232	8	4	231	231	231	231	231	12	230	5	232	21	37	232	5	12	230	232	398	222	230	11	223	14	228	5	232	5	231	5	223	229	231	25	230	167	89	229	230	232	233	223	225	230	3	230	230	12	30	232	230	21	5	232	230	232	5	231	228	10	237	231	4	4	4	230	236	236	116	231	222	231	6	233	5	12	5	232	231	236	20	5	231	3	3	64	223	10	230	236	5	231	225	230	230	12	231	233	226	5	227	5	26	229	4	229	229	4	241	10	4	232	237	11	232	231	230	222	235	4	6	231	231	231	0	11	231	231	24	221	230	221	232	22	231	12	4	230	4	5	4	229	12	5	13	231	5	12	8	90	5	4	231	14	5	230	5	5	231	12	5	7	5	4	5	5	5	5	5	226	5	7	5	5	4	231	232	5	5	232	232	5	231	118	230	231	5	4	4	226	11	4	5	5	5	12	6	230	233	233	5	224	5	233	4	165	12	233	5	5	4	5	5	232	4	5	5	232	90	231	4	5	5	233	232	233	232	5	232	230
CTX-M-29	235	232	11	9	233	233	233	233	233	13	231	8	234	23	41	234	8	11	231	232	397	222	234	12	221	7	229	8	234	8	233	8	221	230	233	25	234	167	92	228	232	234	235	221	224	232	8	231	234	13	30	232	232	23	8	234	229	232	8	233	229	13	238	233	9	7	9	231	237	237	119	232	222	233	7	234	8	9	8	234	233	238	21	10	233	8	10	67	223	11	231	234	8	233	225	231	229	11	233	233	226	8	228	8	26	230	7	230	233	9	243	13	9	233	239	10	232	231	231	224	233	9	11	233	235	231	11	0	230	235	24	221	232	223	232	21	233	11	7	232	9	8	9	230	13	8	14	233	8	13	11	93	8	9	233	11	8	231	8	8	231	13	8	8	8	9	8	8	8	8	8	226	8	12	8	8	9	233	232	8	8	232	232	8	233	121	231	233	8	9	9	226	10	9	8	8	8	17	9	232	235	235	8	222	8	235	9	167	13	233	8	8	9	10	8	233	9	8	8	232	95	233	9	8	8	233	232	237	232	8	234	231
CTX-M-43	207	207	232	231	206	208	208	208	208	235	3	230	207	243	257	209	230	233	3	207	376	204	209	234	203	232	8	231	209	230	208	230	203	3	207	230	209	202	220	212	207	209	210	203	210	206	230	3	209	235	223	207	207	243	228	209	1	207	230	208	10	234	19	208	231	230	231	3	23	209	214	7	204	208	230	16	230	231	230	206	208	211	242	231	208	230	232	220	203	233	3	140	230	209	208	1	213	233	208	208	208	230	11	230	231	2	230	9	208	231	215	231	231	8	212	232	207	206	3	204	141	230	231	208	210	207	231	230	0	210	229	203	208	205	207	229	208	233	229	206	231	230	231	5	235	230	236	208	230	235	233	221	230	231	208	231	230	3	230	230	206	235	230	231	230	231	230	230	230	230	230	208	230	233	230	230	231	208	207	230	230	207	207	229	207	216	3	208	230	231	231	209	233	231	230	230	228	239	233	208	210	210	230	204	230	210	231	204	235	208	229	228	229	232	230	6	231	228	230	207	220	208	231	230	230	208	207	213	207	230	207	3
CTX-M-148	6	5	235	233	4	4	2	4	4	235	209	234	5	246	257	3	234	235	209	5	359	201	3	234	202	234	208	232	7	232	4	234	202	208	3	230	1	68	148	199	3	5	7	202	194	4	232	209	3	235	229	5	3	246	234	3	209	5	234	4	209	233	215	4	233	233	233	209	215	12	119	208	201	4	234	210	234	237	234	6	4	10	244	233	4	232	232	173	200	235	209	209	234	7	201	209	200	235	4	8	202	232	210	234	231	208	233	207	2	233	16	233	233	209	11	236	5	4	209	201	211	233	231	4	6	5	231	235	210	0	229	200	4	200	5	234	4	235	233	5	233	234	233	210	235	234	236	4	234	235	237	147	234	233	4	234	234	209	234	234	5	235	234	232	234	233	234	234	234	234	234	200	234	232	234	234	233	4	5	234	232	5	3	233	4	121	209	4	234	233	233	201	234	233	234	234	232	241	232	6	8	4	234	203	234	8	233	70	235	6	233	232	233	234	234	210	233	233	234	5	147	4	233	234	234	6	5	8	5	234	5	209
CTX-M-10	229	228	26	22	227	227	227	227	226	24	228	23	228	39	55	228	23	22	228	228	400	218	228	23	217	24	226	25	228	23	227	23	217	227	227	1	228	171	98	222	228	228	229	217	218	226	23	228	228	24	16	228	226	39	23	228	228	228	23	227	226	22	235	227	22	22	24	228	234	232	120	229	216	229	24	231	23	24	23	228	227	232	38	21	227	21	23	77	217	24	228	233	23	227	221	228	223	24	227	229	222	23	225	23	4	227	24	227	227	22	237	25	24	230	233	23	228	227	228	218	232	22	24	227	229	227	24	24	229	229	0	217	226	217	228	14	227	22	22	226	22	23	24	228	24	23	25	227	23	24	26	99	23	22	227	24	23	228	23	23	227	24	23	23	23	24	23	23	23	23	23	222	23	25	23	23	24	227	228	23	23	228	228	23	227	122	228	227	23	22	22	222	23	24	23	23	23	30	24	226	229	229	23	218	23	229	22	169	24	229	23	23	24	25	23	230	24	22	23	228	98	227	22	23	23	229	228	231	228	23	228	228
CTX-M-160	200	199	221	221	200	200	200	200	200	219	204	220	199	233	245	201	220	219	204	199	371	1	199	218	3	217	203	220	200	220	200	220	2	203	200	218	199	194	217	103	197	201	202	2	102	198	218	204	199	219	218	199	199	233	220	201	202	199	219	200	205	217	211	200	221	221	219	204	210	206	211	204	3	198	220	204	220	217	220	198	200	201	232	221	200	220	220	215	4	217	204	221	220	203	37	204	104	217	200	199	28	220	205	220	217	203	219	206	198	221	210	217	219	205	204	218	199	198	203	4	221	221	218	200	199	200	221	221	203	200	217	0	200	2	199	221	200	219	219	198	219	218	219	206	218	220	220	200	220	219	222	218	220	221	200	215	220	204	220	220	198	219	220	220	220	218	220	220	220	220	220	37	220	221	220	220	219	200	199	220	220	199	199	219	200	213	204	200	220	221	221	34	217	219	220	218	218	229	220	202	201	202	220	3	220	201	221	196	219	200	219	218	219	220	220	205	219	218	220	199	216	200	221	220	220	200	199	203	199	220	201	203
CTX-M-83	4	3	232	230	2	2	2	2	2	234	207	231	3	243	254	3	231	232	207	3	358	201	3	233	200	231	206	231	5	229	2	231	200	206	3	227	3	66	145	197	3	3	5	200	192	2	231	207	3	234	226	3	1	243	231	3	207	3	231	2	207	232	213	2	230	230	232	207	213	10	116	206	199	4	231	208	231	234	231	4	2	8	241	230	2	229	231	170	198	234	207	207	231	5	199	207	198	234	2	6	200	229	208	231	230	206	232	205	2	230	14	232	232	207	9	233	3	2	207	201	209	230	230	2	6	3	230	232	208	4	226	200	0	200	3	231	2	232	230	3	230	231	232	208	234	231	235	2	231	234	234	144	231	230	2	231	231	207	231	231	3	234	231	229	231	232	231	231	231	231	231	198	231	229	231	231	232	2	3	231	229	3	3	230	2	118	207	2	231	230	230	199	231	232	231	231	229	238	231	4	6	4	231	201	231	6	230	68	234	4	230	229	232	233	231	208	232	230	231	3	146	2	230	231	231	4	3	8	3	231	3	207
CTX-M-89	200	201	223	221	200	200	200	200	200	219	204	222	199	235	245	201	222	219	204	201	371	1	199	218	3	217	203	222	200	222	200	222	4	203	200	218	199	196	219	101	199	201	202	2	100	198	220	204	199	219	218	201	199	235	222	201	204	201	221	200	205	217	211	200	221	221	221	204	210	206	213	204	1	200	222	204	222	219	222	198	200	201	234	221	200	220	220	217	2	217	204	221	222	203	35	204	102	219	200	201	26	222	205	222	219	203	221	206	198	221	210	217	221	205	204	218	201	200	203	2	221	221	218	200	199	200	221	223	205	200	217	2	200	0	201	221	200	219	221	198	219	220	221	206	218	222	220	200	222	219	224	220	222	221	200	217	222	204	222	222	200	219	222	220	222	220	222	222	222	222	222	35	222	221	222	222	221	200	201	222	222	201	201	221	200	215	204	200	222	221	221	32	217	221	222	220	220	229	220	202	201	202	222	3	222	201	221	196	219	202	221	220	221	222	222	205	221	220	222	201	218	198	221	222	222	202	201	203	201	222	201	203
CTX-M-129	5	2	232	232	3	3	3	3	3	236	208	231	4	243	256	4	231	234	208	2	358	200	4	235	199	233	207	231	6	229	3	231	199	207	4	229	4	65	145	198	2	4	6	199	193	3	231	208	4	236	228	2	2	243	231	4	206	2	231	3	208	234	214	3	232	232	232	208	214	11	116	207	200	3	231	209	231	234	231	5	3	9	241	232	3	231	233	170	199	236	208	208	231	6	200	208	199	234	3	5	201	229	209	231	230	207	232	206	3	232	15	234	232	208	10	235	2	1	208	202	210	232	232	3	7	4	232	232	207	5	228	199	3	201	0	233	3	234	230	4	232	231	232	209	236	231	237	3	231	236	234	144	231	232	3	231	231	208	231	231	2	236	231	231	231	232	231	231	231	231	231	199	231	231	231	231	232	3	2	231	229	2	2	230	3	118	208	3	231	232	232	200	233	232	231	231	229	240	233	5	7	5	231	200	231	7	232	69	236	3	230	229	232	233	231	209	232	230	231	2	146	3	232	231	231	3	2	9	2	231	4	208
CTX-M-37	234	233	22	20	232	232	232	232	232	20	228	21	233	36	52	233	21	18	228	233	400	222	233	19	221	21	226	23	233	21	232	21	221	227	232	15	233	176	96	226	233	233	234	221	222	231	21	228	233	20	22	233	231	36	21	233	228	233	21	232	226	18	235	232	20	20	22	228	234	237	123	229	220	234	22	231	21	22	21	233	232	236	35	21	232	19	21	78	221	22	228	232	21	232	221	228	227	20	232	234	224	21	225	21	16	227	22	227	232	20	242	23	22	230	237	21	233	232	228	222	231	20	22	232	234	232	22	21	229	234	14	221	231	221	233	0	232	20	20	231	20	21	22	227	20	21	21	232	21	20	24	97	21	20	232	22	21	228	21	21	232	20	21	21	21	22	21	21	21	21	21	222	21	23	21	21	22	232	233	21	21	233	233	21	232	125	228	232	21	20	20	222	21	22	21	21	21	28	22	231	234	234	21	222	21	234	20	174	20	234	21	21	22	23	21	229	22	21	21	233	99	232	20	21	21	234	233	236	233	21	233	228
CTX-M-104	4	3	233	231	2	2	2	2	2	235	205	232	3	244	255	1	232	233	207	3	359	201	3	234	200	232	206	232	5	230	2	232	200	206	3	228	3	66	146	197	3	3	5	200	192	2	232	207	3	235	227	3	1	244	232	3	207	3	232	2	207	233	213	2	231	231	233	207	213	10	117	206	199	4	232	208	232	235	232	4	2	8	242	231	2	230	232	171	198	235	207	207	232	5	199	207	196	235	2	6	200	230	208	232	231	206	233	205	2	231	14	233	233	207	9	234	3	2	207	201	209	231	231	2	6	3	231	233	208	4	227	200	2	200	3	232	0	233	231	3	231	232	233	208	235	232	236	2	232	235	235	145	232	231	2	232	232	207	232	232	3	235	232	230	232	233	232	232	232	232	232	198	232	230	232	232	233	2	3	232	230	3	3	231	2	119	207	2	232	231	231	199	232	233	232	232	230	239	232	4	6	2	232	201	232	6	231	68	235	4	231	230	233	234	232	208	233	231	232	3	147	2	231	232	232	4	3	8	3	232	3	207
CTX-M-62	235	234	14	9	233	233	233	231	233	13	232	11	233	25	43	234	11	12	230	234	397	220	232	13	219	10	230	13	234	11	233	11	219	231	233	23	234	170	94	229	234	234	235	219	225	232	11	232	234	14	28	234	232	25	11	232	232	234	11	233	230	12	239	233	10	10	12	232	238	238	122	233	218	235	10	235	11	8	11	234	233	238	24	11	233	9	9	70	219	8	232	233	11	233	221	232	230	14	233	235	222	11	229	11	26	231	12	231	233	10	243	11	12	234	239	7	234	233	232	220	233	10	10	233	235	233	12	11	233	235	22	219	232	219	234	20	233	0	10	232	10	11	12	231	14	11	15	233	11	14	14	95	11	10	233	6	11	232	11	11	233	14	11	9	11	12	11	11	11	11	11	221	11	13	11	11	12	233	234	11	11	234	234	11	233	124	232	233	11	10	10	222	5	12	11	11	11	18	9	232	235	235	11	220	11	233	10	166	14	235	11	11	12	13	11	234	12	11	11	234	98	233	10	11	11	235	234	237	234	11	234	232
CTX-M-15	233	230	4	2	231	231	231	231	231	12	230	1	232	17	35	232	1	10	230	230	400	220	232	11	219	12	228	3	232	1	231	1	219	229	231	23	232	165	85	227	230	232	233	219	223	230	1	230	232	12	28	230	230	17	1	232	228	230	1	231	228	10	237	231	2	2	2	230	236	236	114	231	220	231	2	233	1	8	1	232	231	236	16	3	231	1	3	60	221	10	230	234	1	231	223	230	228	10	231	231	224	1	227	1	24	229	2	229	231	2	241	10	2	232	237	9	230	229	230	222	233	2	6	231	233	231	4	7	229	233	22	219	230	221	230	20	231	10	0	230	2	1	2	229	12	1	13	231	1	12	4	86	1	2	231	10	1	230	1	1	229	12	1	5	1	2	1	1	1	1	1	224	1	5	1	1	2	231	230	1	1	230	230	1	231	116	230	231	1	2	2	224	9	2	1	1	1	10	6	230	233	233	1	220	1	233	2	165	12	231	1	1	2	3	1	232	2	1	1	230	88	231	2	1	1	231	230	235	230	1	232	230
CTX-M-161	5	4	232	230	3	3	3	3	3	234	205	231	4	243	254	4	231	232	205	4	357	199	4	233	198	232	204	231	6	229	3	231	198	204	4	227	4	67	146	195	4	4	6	198	190	3	231	205	4	234	226	4	2	243	231	4	205	4	231	3	205	232	211	3	230	230	232	205	211	11	117	204	197	5	231	206	231	234	231	5	3	9	241	230	3	229	231	171	196	234	205	205	231	6	199	205	196	234	3	7	200	229	206	231	230	204	232	203	3	230	15	232	232	205	10	233	4	3	205	199	207	230	230	3	7	4	230	232	206	5	226	198	3	198	4	231	3	232	230	0	230	231	232	206	234	231	235	3	231	234	234	145	231	230	3	231	231	205	231	231	4	234	231	229	231	232	231	231	231	231	231	198	231	230	231	231	232	3	4	231	229	4	4	230	3	119	205	3	231	230	230	199	231	232	231	231	229	238	231	5	7	5	231	199	231	7	230	69	234	5	230	229	232	233	231	206	232	230	231	4	147	3	230	231	231	5	4	9	4	231	4	205
